Time,Value,DC
1443421440,4130.623611,S
1443421500,4114.723611,S
1443421800,3994.725,S
1443421860,3977.715477,S
1443422160,3785.012699,S
1443422220,3751.74127,S
1443422520,3832.438492,S
1443422580,3769.575397,S
1443422880,3614.101667,S
1443422940,3605.582223,S
1443423240,3187.468334,S
1443423300,3190.534524,S
1443423600,2997.670635,S
1443423660,2959.603572,S
1443423960,2823.888334,S
1443424320,2841.512778,S
1443424380,2782.512302,S
1443424680,2657.309127,S
1443424740,2684.133334,S
1443425040,2508.419445,S
1443425100,2468.727778,S
1443425400,2469.15,S
1443425460,2399.33254,S
1443425760,2463.326111,S
1443425820,2450.151111,S
1443426120,2411.376111,S
1443426180,2361.055556,S
1443426480,2214.618334,S
1443426840,2279.213334,S
1443426900,2244.469048,S
1443427200,1973.489127,S
1443427260,1974.48,S
1443427560,1964.995556,S
1443427620,1954.169842,S
1443427920,1904.944842,S
1443427980,1897.788096,S
1443428280,1836.875556,S
1443428640,1862.283334,S
1443428700,1828.952381,S
1443429000,1730.147778,S
1443429360,1724.831111,S
1443429420,1696.311111,S
1443429720,1556.463334,S
1443430080,1512.686111,S
1443430440,1641.702778,S
1443430500,1595.776588,S
1443430800,1482.968889,S
1443431160,1351.746667,S
1443431220,1350.759524,S
1443431520,1409.273413,S
1443431580,1354.464683,S
1443431880,1465.391111,S
1443432240,1328.661111,S
1443432600,1546.3,S
1443432660,1545.985318,S
1443432960,1445.546111,S
1443433320,1478.151667,S
1443433380,1470.017857,S
1443433680,1515.575397,S
1443433740,1522.713889,S
1443434040,1563.563889,S
1443434100,1561.797223,S
1443434400,1606.783334,S
1443434460,1589.486508,S
1443434760,1556.088334,S
1443435120,1759.605,S
1443435180,1736.330556,S
1443435480,1844.91,S
1443435540,1854.721111,S
1443435840,1800.697223,S
1443435900,1797.561111,S
1443436200,1995.830556,S
1443436260,1995.713889,S
1443436560,1853.428334,S
1443436920,1800.342223,S
1443436980,1846.101588,S
1443437280,1809.325,S
1443437640,1939.038889,S
1443437700,1846.922223,S
1443438000,1992.797937,S
1443438060,2010.953889,S
1443438360,1982.133334,S
1443438420,1990.241667,S
1443438720,2140.824445,S
1443438780,2135.346667,S
1443439080,2199.605,S
1443439140,2181.268254,S
1443439440,2436.950953,S
1443439500,2454.614445,S
1443439800,2480.049445,S
1443439860,2487.966111,S
1443440160,2637.041667,S
1443440220,2650.555556,S
1443440520,2686.186111,S
1443440580,2684.124603,S
1443440880,3046.125,S
1443440940,3048.494445,S
1443441240,3227.458889,S
1443441300,3227.339445,S
1443441600,3125.147778,S
1443441660,3085.463889,S
1443441960,2968.752302,S
1443442020,2987.567778,S
1443442320,3456.306111,S
1443442380,3455.23254,S
1443442680,3855.016667,S
1443443040,4327.663334,S
1443443100,4317.145238,S
1443443400,4893.364683,S
1443443460,4843.015873,S
1443443760,4332.214683,S
1443443820,4352.169445,S
1443444120,4807.752778,S
1443444180,4808.816667,S
1443444480,5140.720556,S
1443444840,5519.303889,S
1443444900,5425.535318,S
1443445200,5728.397381,S
1443445260,5727.708889,S
1443445560,6050.926111,S
1443445620,6031.955556,S
1443445920,5715.022619,S
1443445980,5781.363889,S
1443446280,6567.755556,S
1443446340,6523.762699,S
1443446640,7032.786667,S
1443447000,7171.831111,S
1443447060,7143.218651,S
1443447360,7299.692778,S
1443447720,8606.84,S
1443447780,8550.536111,S
1443448080,7647.990159,S
1443448140,7691.982223,S
1443448440,8227.476667,S
1443448500,8204.686508,S
1443448800,-3622.098174,S
1443448860,-3576.097777,S
1443449160,8109.854723,S
1443449220,8077.051945,S
1443449520,-98273.33278,S
1443449580,-142325.554,S
1443449880,-142363.6679,S
1443449940,10553.83535,S
1443450240,12755.56537,S
1443450300,12759.52093,S
1443450600,13120.47259,S
1443450660,2935.96545,S
1443450960,12075.925,S
1443451020,12071.46944,S
1443451320,11984.31167,S
1443451380,11873.63571,S
1443451680,12561.78849,S
1443451740,12612.33056,S
1443452040,12425.00833,S
1443452100,11857.92262,S
1443452400,11868.72262,S
1443452460,12383.78056,S
1443452760,14140.34333,S
1443452820,13999.35167,S
1443453120,13643.39944,S
1443453180,13687.37937,S
1443453480,14475.21056,S
1443453540,14478.91056,S
1443453840,14463.89278,S
1443453900,14227.77302,S
1443454200,13908.96889,S
1443454260,13890.03278,S
1443454560,14438.86611,S
1443454620,13437.05873,S
1443454920,13097.32262,S
1443454980,14052.49444,S
1443455280,15034.27556,S
1443455340,15118.66722,S
1443455640,-106828.9067,S
1443455700,-270192.3317,S
1443456000,-652992.7283,S
1443456060,-575417.7992,S
1443456360,19965.30519,S
1443456720,20725.35148,S
1443456780,19857.77831,S
1443457080,20623.59683,S
1443457140,11343.00299,S
1443457440,19822.22167,S
1443457800,20333.82444,S
1443457860,18880.10635,S
1443458160,18213.57024,S
1443458220,19071.45556,S
1443458520,19777.55833,S
1443458580,19510.38611,S
1443458880,19451.57278,S
1443458940,19198.00889,S
1443459240,19196.57,S
1443459300,17817.71706,S
1443459600,17135.10988,S
1443459660,16747.65274,S
1443459960,16949.31222,S
1443460020,15846.86032,S
1443460320,17021.36556,S
1443460680,15296.49333,S
1443460740,15070.64048,S
1443461040,14108.47381,S
1443461100,14259.72024,S
1443461400,14372.31444,S
1443461460,14348.32,S
1443461760,14313.13833,S
1443461820,14277.07698,S
1443462120,15576.27976,S
1443462180,14642.80516,S
1443462480,14829.3996,S
1443462540,14068.56984,S
1443462840,14639.40556,S
1443462900,14618.09167,S
1443463200,14982.83611,S
1443463260,13268.83849,S
1443463560,14866.19611,S
1443463920,15255.56278,S
1443463980,13786.28492,S
1443464280,14794.7546,S
1443464340,14828.12167,S
1443464640,14173.17333,S
1443464700,14024.26032,S
1443465120,14517.4499,S
1443465180,14158.97338,S
1443465480,14156.83889,S
1443465840,12934.85278,S
1443466200,12286.81667,S
1443466560,12497.81111,S
1443466620,12470.11032,S
1443466920,12842.57921,S
1443466980,12577.96056,S
1443467280,10600.51167,S
1443467340,10577.89802,S
1443467640,11595.595,S
1443467700,11371.23944,S
1443468000,12141.58389,S
1443468360,12254.77,S
1443468420,-94833.67253,S
1443468720,-64383.04452,S
1443468780,18586.95833,S
1443469080,17571.69056,S
1443469140,17223.95357,S
1443469440,18193.0894,S
1443469500,18293.74773,S
1443469800,17549.84333,S
1443469860,17535.68778,S
1443470160,16779.98722,S
1443470220,17088.16191,S
1443470520,16299.69802,S
1443470580,16240.71468,S
1443470880,17337.97111,S
1443470940,17023.54889,S
1443471240,17037.48611,S
